GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7
Trace Metals,Pb_extractable,Soil concentration of extractable Lead,mg Pb/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Rb_extractable,Soil concentration of extractable Rubidium,mg Rb/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Se_extractable,Soil concentration of extractable Selenium,mg Se/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Si_extractable,Soil concentration of extractable Silicon,mg Si/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Sr_extractable,Soil concentration of extractable Strontium,mg Sr/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Te_extractable,Soil concentration of extractable Tellurium,mg Te/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,V_extractable,Soil concentration of extractable Vanadium,mg V/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Trace Metals,Zn_extractable,Soil concentration of extractable Zinc,mg Zn/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Cations,CEC,Cation Exchange capacity,cmol/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
pH,Buffering_Capacity,Ability of the soil to resist change in pH (reserve or exchangable acidity),meq H+ (kg soil)-1 (pH)-1 OR mg CaCO3 (kg soil)-1 (pH)-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
pH,pH,Negative logarithm of the hydrogen ion concentration,no reported units,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
pH,pH_buffer,pH after addition of buffer solution,no reported units,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Redox,Dissolved_O2,Dissolved oxygen in aqueous soil solution,mg O2/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Redox,Eh,Soil redox potential,mV,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Salinity,Electrical_Conductivity,Soil electrical conductivity,decisiemens/m,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Temperature,Soil_Temp,Soil temperature at a given soil depth,°C,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Hydraulic properties,Field_Capacity_WC,Water content in soil 2-3 d after wetting when free drainage is negligible (soil water potential is at -33 kPa),% vol (cm3 H2O/cm3 soil*100),"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Hydraulic properties,Ksat,Saturated soils ability to transmit water when subjected to a hydraulic gradient.,cm/sec,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Hydraulic properties,Soil_Moisture_grav,Gravimetric soil moisture content,% (g water/g dry soil*100),"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Hydraulic properties,Soil_Moisture_vol,Volumetric soil moisture content,% vol (cm3 H2O/cm3 soil*100),"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Hydraulic properties,Soil_Water_Characteristic_Curve,"Relationship between soil water content and matric potential; also called water retention curve or isotherm, or water release curve; was it measured?",N/A,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Hydraulic properties,Wilting_Potential_WC,Water content at Wilting Point (water is unavailable to plants; water potential at -1500 kPa),% vol (cm3 H2O/cm3 soil*100),"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Texture,Clay,Percent of soil particles in clay fraction < 0.002 mm,% of <2 mm sieved soil,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Texture,Sand,Percent of soil particles in sand fraction > 0.05 mm,% of <2 mm sieved soil,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Texture,Silt,Percent of soil particles in silt fraction < 0.05 and > 0.002 mm,% of <2 mm sieved soil,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Texture,Coarse fragment,Gravel fraction > 2 mm,% of whole soil,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Mineralogy,Mineral_identification,Identification of clay-sized minerals,-,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Mineralogy,Specific_surface_area,Surface area of soil particles,m2/g,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Aggregation,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Aggregation,Water_Stable_Aggregation,Abundance of water-stable soil aggregates by size class (wet sieve),g/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Bulk Density,Bulk_Density,Oven-dried soil mass per volume,g/cm3,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Acid_Phosphatase,Acid phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Alkaline_Phosphatase,Alkaline phosphatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Arylsulfatase,Arylsulfatase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Beta_Glucosaminidase_NAG,Beta Glucosaminidase nag enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Beta_Glucosidase,Beta glucosidase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Combined_Enzyme_Assay,Combined assay of multiple enzymes activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Fluorescein_Diacetate_Hydrolysis,Fluorescein Diacetate hydrolysis enzyme activity,mg fluorescein kg-1 h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,L-asparaginase,L-asparaginase enzyme activity,mg NH4–N released kg−1 soil h−1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,L-glutaminase,L-glutaminase enzyme activity,mg NH4–N released kg−1 soil h−1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Phenol_Oxidase,Phenol oxidase enzyme activity,umol product (dopachrome) g-1 dry soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Phosphodiesterase,Phosphodiesterase enzyme activity,mg ρ-nitrophenol released kg-1 soil h-1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Enzyme activity,Urease,Urease enzyme activity,mg NH4–N released kg−1 soil h−1,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,AMF_abundance,Arbuscular mycorrhizal fungi root colonization,% root colonized,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,DNA,"DNA sequences, were they measured",-,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,FAME,"Fatty Acid Methyl Esters, were they measured",-,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,Fungal_abundance,Abundance of fungi,copies/g,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,Microbial_biomass_C,Microbial biomass carbon,mg C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,Microbial_biomass_N,Microbial biomass nitrogen,mg N/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,Microbial_genes,Abundance of specific microbial genes,number of reads/g,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Microbes,PLFA,"Phospholipid Fatty Acids, were they measured",-,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Meso & macrofauna,Arthropod_abundance,Soil arthropods (aggregate or by category),number/m2,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Meso & macrofauna,Earthworm_abundance,number of earthworms per square meter,number/m2,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Meso & macrofauna,Nematode_abundance,number of nematodes per cubic meter,number/m3,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
